clip,level,path,snr_db_target,snr_db_achieved,clipped_samples,samples,source_rate
tts_clarify_fan_level,clean,../evidence/asr/corpus/clean/tts_clarify_fan_level.wav,,,0,51982,22050
tts_clarify_fan_level,quiet,../evidence/asr/corpus/quiet/tts_clarify_fan_level.wav,20.0,20.0,0,51982,22050
tts_clarify_fan_level,cabin,../evidence/asr/corpus/cabin/tts_clarify_fan_level.wav,10.0,10.0,0,51982,22050
tts_clarify_fan_level,highway,../evidence/asr/corpus/highway/tts_clarify_fan_level.wav,5.0,5.0,2,51982,22050
tts_clarify_temperature_range,clean,../evidence/asr/corpus/clean/tts_clarify_temperature_range.wav,,,0,73336,22050
tts_clarify_temperature_range,quiet,../evidence/asr/corpus/quiet/tts_clarify_temperature_range.wav,20.0,20.0,0,73336,22050
tts_clarify_temperature_range,cabin,../evidence/asr/corpus/cabin/tts_clarify_temperature_range.wav,10.0,10.0,0,73336,22050
tts_clarify_temperature_range,highway,../evidence/asr/corpus/highway/tts_clarify_temperature_range.wav,5.0,5.0,2,73336,22050
tts_clarify_warmer,clean,../evidence/asr/corpus/clean/tts_clarify_warmer.wav,,,0,47023,22050
tts_clarify_warmer,quiet,../evidence/asr/corpus/quiet/tts_clarify_warmer.wav,20.0,20.0,0,47023,22050
tts_clarify_warmer,cabin,../evidence/asr/corpus/cabin/tts_clarify_warmer.wav,10.0,10.0,0,47023,22050
tts_clarify_warmer,highway,../evidence/asr/corpus/highway/tts_clarify_warmer.wav,5.0,5.0,0,47023,22050
tts_command_failed,clean,../evidence/asr/corpus/clean/tts_command_failed.wav,,,0,63740,22050
tts_command_failed,quiet,../evidence/asr/corpus/quiet/tts_command_failed.wav,20.0,20.0,0,63740,22050
tts_command_failed,cabin,../evidence/asr/corpus/cabin/tts_command_failed.wav,10.0,10.0,0,63740,22050
tts_command_failed,highway,../evidence/asr/corpus/highway/tts_command_failed.wav,5.0,5.0,0,63740,22050
tts_deny_door_while_moving,clean,../evidence/asr/corpus/clean/tts_deny_door_while_moving.wav,,,0,44305,22050
tts_deny_door_while_moving,quiet,../evidence/asr/corpus/quiet/tts_deny_door_while_moving.wav,20.0,20.0,0,44305,22050
tts_deny_door_while_moving,cabin,../evidence/asr/corpus/cabin/tts_deny_door_while_moving.wav,10.0,10.0,0,44305,22050
tts_deny_door_while_moving,highway,../evidence/asr/corpus/highway/tts_deny_door_while_moving.wav,5.0,5.0,1,44305,22050
tts_did_not_hear_repeat,clean,../evidence/asr/corpus/clean/tts_did_not_hear_repeat.wav,,,0,57266,22050
tts_did_not_hear_repeat,quiet,../evidence/asr/corpus/quiet/tts_did_not_hear_repeat.wav,20.0,20.0,0,57266,22050
tts_did_not_hear_repeat,cabin,../evidence/asr/corpus/cabin/tts_did_not_hear_repeat.wav,10.0,10.0,0,57266,22050
tts_did_not_hear_repeat,highway,../evidence/asr/corpus/highway/tts_did_not_hear_repeat.wav,5.0,5.0,5,57266,22050
tts_did_not_hear_try_again,clean,../evidence/asr/corpus/clean/tts_did_not_hear_try_again.wav,,,0,55984,22050
tts_did_not_hear_try_again,quiet,../evidence/asr/corpus/quiet/tts_did_not_hear_try_again.wav,20.0,20.0,0,55984,22050
tts_did_not_hear_try_again,cabin,../evidence/asr/corpus/cabin/tts_did_not_hear_try_again.wav,10.0,10.0,0,55984,22050
tts_did_not_hear_try_again,highway,../evidence/asr/corpus/highway/tts_did_not_hear_try_again.wav,5.0,5.0,0,55984,22050
tts_driver_door_locked,clean,../evidence/asr/corpus/clean/tts_driver_door_locked.wav,,,0,31427,22050
tts_driver_door_locked,quiet,../evidence/asr/corpus/quiet/tts_driver_door_locked.wav,20.0,20.0,0,31427,22050
tts_driver_door_locked,cabin,../evidence/asr/corpus/cabin/tts_driver_door_locked.wav,10.0,10.0,0,31427,22050
