run_position,level,snr_db,clip,reference,hypothesis,wer,confidence,audio_ms,server_ms,rtf,error
1,highway,5.0,tts_volume_up,Đã tăng âm lượng.,đang căng âm lượng.,0.5,0.5619,1589.2,787,0.4952,
2,clean,,tts_temp_29,Đã đặt nhiệt độ mục tiêu 29 độ C.,đã đặc nhiệt độ mục tiêu hai mươi chín độ c.,0.4444,0.7867,3034.0,681,0.2245,
3,cabin,10.0,tts_clarify_warmer,Bạn muốn tăng nhiệt độ điều hòa lên bao nhiêu độ?,hòa lên bao nhiêu độ.,0.5455,0.5984,2938.9,620,0.211,
4,quiet,20.0,tts_fan_5,Đã đặt quạt mức 5.,đã đặt quạt bước năm.,0.4,0.6797,1769.2,603,0.3408,
5,highway,5.0,tts_fan_3,Đã đặt quạt mức 3.,đã đặt quạt mướp mang.,0.4,0.6586,1754.2,587,0.3346,
6,cabin,10.0,tts_command_failed,Mình chưa thực hiện được yêu cầu. Bạn thử lại giúp mình nhé.,hình chưa thực hiện được yêu cầu bạn thử lại giúp mình nhé.,0.0769,0.7943,3983.8,677,0.1699,
7,clean,,tts_clarify_fan_level,"Bạn muốn đặt quạt ở mức mấy, từ không đến năm?",nguấn đặc quạt ở mức mấy từ không đến năm.,0.2727,0.6619,3248.9,668,0.2056,
8,cabin,10.0,tts_temp_25,Đã đặt nhiệt độ mục tiêu 25 độ C.,đã đặc nhiệt độ mục tiêu hai mươi lăm độ xê.,0.5556,0.8321,2894.0,636,0.2198,
9,highway,5.0,tts_temp_22,Đã đặt nhiệt độ mục tiêu 22 độ C.,đã đặc nhiệt độ mục tiêu hai mươi hai độ xê.,0.5556,0.8277,3014.0,649,0.2153,
10,highway,5.0,tts_command_failed,Mình chưa thực hiện được yêu cầu. Bạn thử lại giúp mình nhé.,hình chưa thực hiện được yêu cầu bạn tự lại giúp mình nhé.,0.1538,0.7695,3983.8,679,0.1704,
11,highway,5.0,tts_deny_door_while_moving,"Xe đang chạy, mình chưa mở cửa được.",sẽ tăng chạy mình chưa mở cửa được.,0.25,0.7738,2769.1,640,0.2311,
12,quiet,20.0,tts_media_next,Đã chuyển bài.,nha chuyện này.,1.0,0.3769,1529.2,603,0.3943,
13,cabin,10.0,tts_fan_0,Đã đặt quạt mức 0.,đã đặt bặt mức không.,0.4,0.622,1784.2,563,0.3155,
14,highway,5.0,tts_fan_0,Đã đặt quạt mức 0.,đã đặt quạt mức không.,0.2,0.7045,1784.2,542,0.3038,
15,quiet,20.0,tts_wrong_wake_phrase,Từ gọi của trợ lý là Viva ơi hoặc Vivi ơi. Bạn thử lại nhé.,thư gọi của trợ lý là vị và gây hoặc vị vị hơi bạn thử lại nhé.,0.4667,0.7978,4878.9,653,0.1338,
16,clean,,tts_driver_door_unlocked,Đã mở khóa cửa tài xế.,khóa cửa tài xế.,0.3333,0.8379,2144.2,588,0.2742,
17,cabin,10.0,tts_volume_up,Đã tăng âm lượng.,đang căng tham lường.,1.0,0.5707,1589.2,524,0.3297,
18,clean,,tts_media_next,Đã chuyển bài.,đã chuyển bài.,0.0,0.5993,1529.2,708,0.463,
19,quiet,20.0,tts_volume_down,Đã giảm âm lượng.,đã giảm âm lượng.,0.0,0.7605,1609.2,569,0.3536,
20,cabin,10.0,tts_volume_down,Đã giảm âm lượng.,đã giảm âm lượng.,0.0,0.7719,1609.2,594,0.3691,
